is_sarcastic,num_words_vs_length,length_vs_num_words_scaled,num_stopwords_scaled,stopwords_vs_length,stopwords_vs_words,num_question_marks,question_vs_length,question_vs_words,unique_vs_words,readability_scaled
0,0.1538461538461538,0.2722001949611991,-0.45647405101887006,0.0256410256410256,0.1666666666666666,0,0.0,0.0,1.0,-0.27583809538892845
0,0.1666666666666666,-0.22986904346836354,1.603327508140279,0.0714285714285714,0.4285714285714285,0,0.0,0.0,1.0,0.16530342579313007
1,0.1772151898734177,-0.5884899280609079,1.0883771183504916,0.0632911392405063,0.3571428571428571,0,0.0,0.0,0.8571428571428571,0.4304019674325832
1,0.1547619047619047,0.23357948431277134,1.0883771183504916,0.0595238095238095,0.3846153846153846,0,0.0,0.0,1.0,-0.09979511584632239
0,0.171875,-0.41243967562456796,0.058476338770917166,0.046875,0.2727272727272727,0,0.0,0.0,1.0,0.5196896972829621
0,0.1481481481481481,0.5232348141759804,-0.9714244408086573,0.037037037037037,0.25,0,0.0,0.0,1.0,0.08038415299845969
0,0.1521739130434782,0.3439243718797078,-0.45647405101887006,0.0434782608695652,0.2857142857142857,0,0.0,0.0,1.0,-0.09772697119523438
0,0.208955223880597,-1.4491800510830157,2.6332282877198536,0.1194029850746268,0.5714285714285714,0,0.0,0.0,1.0,1.2256975923509426
1,0.14,0.9177177872277801,-1.4863748305984446,0.0,0.0,0,0.0,0.0,1.0,-0.3182977317862627
0,0.1525423728813559,0.32798566589781697,-0.45647405101887006,0.0338983050847457,0.2222222222222222,0,0.0,0.0,1.0,0.4763085115817335
0,0.1587301587301587,0.07137249958937388,-0.45647405101887006,0.0317460317460317,0.2,0,0.0,0.0,1.0,0.18435542500315316
0,0.135593220338983,1.1508213622129337,-0.45647405101887006,0.0338983050847457,0.25,0,0.0,0.0,1.0,-1.0255718669333196
0,0.1714285714285714,-0.39722545627821804,-0.45647405101887006,0.0285714285714285,0.1666666666666666,0,0.0,0.0,1.0,0.6520068003491567
0,0.15625,0.17178634727528694,1.0883771183504916,0.078125,0.5,0,0.0,0.0,0.9,-0.9290584498825499
0,0.1568627450980392,0.14668288535380844,-0.45647405101887006,0.0392156862745098,0.25,0,0.0,0.0,1.0,1.2940403724118938
1,0.125,1.778407910249887,-0.45647405101887006,0.03125,0.25,0,0.0,0.0,1.0,-1.5855690345029012
1,0.1931818181818181,-1.0568066126464664,1.603327508140279,0.0681818181818181,0.3529411764705882,0,0.0,0.0,1.0,0.7058569000899838
1,0.14,0.9177177872277801,-0.9714244408086573,0.02,0.1428571428571428,0,0.0,0.0,1.0,-0.8484948150651689
0,0.1551724137931034,0.21641472402458123,-0.45647405101887006,0.0344827586206896,0.2222222222222222,0,0.0,0.0,1.0,0.4763085115817335
0,0.15,0.4395566077710536,-1.4863748305984446,0.0,0.0,0,0.0,0.0,1.0,0.7434751978722746
1,0.14,0.9177177872277801,-0.9714244408086573,0.02,0.1428571428571428,0,0.0,0.0,1.0,0.21189935149264286
1,0.1441441441441441,0.7115107785870665,1.0883771183504916,0.045045045045045,0.3125,0,0.0,0.0,1.0,-1.1498328913861866
0,0.1666666666666666,-0.22986904346836354,0.5734267285607044,0.0606060606060606,0.3636363636363636,0,0.0,0.0,1.0,0.612185045421392
0,0.238095238095238,-2.037318301814789,2.6332282877198536,0.1904761904761904,0.8,0,0.0,0.0,1.0,1.3010595300155865
0,0.1830985915492957,-0.770558992546354,0.5734267285607044,0.056338028169014,0.3076923076923077,0,0.0,0.0,1.0,0.9643424407384598
